Date,Type of Weapon,Number
1/3/2015,Special Operations,1
1/3/2015,Special Operations,1
1/3/2015,Heavy Weaponry,1
1/11/2015,Special Operations,1
1/11/2015,Special Operations,1
1/11/2015,Special Operations,1
1/20/2015,Special Operations,1
1/21/2015,Heavy Weaponry,1
1/21/2015,Special Operations,1
1/23/2015,Special Operations,1
1/29/2015,Drones,1
1/29/2015,Special Operations,1
1/31/2015,Special Operations,1
2/10/2015,Special Operations,1
2/21/2015,Special Operations,1
2/28/2015,Special Operations,1
3/6/2015,Heavy Weaponry,1
3/6/2015,Special Operations,1
3/6/2015,Special Operations,1
3/19/2015,Special Operations,1
4/3/2015,Special Operations,1
4/21/2015,Special Operations,1
4/22/2015,Heavy Weaponry,1
5/2/2015,Heavy Weaponry,1
7/4/2015,Drones,2
7/7/2015,Drones,1
7/25/2015,Special Operations,1
7/29/2015,Heavy Weaponry,1
7/29/2015,Drones,1
7/31/2015,Heavy Weaponry,1
8/6/2015,Drones,1
8/12/2015,Special Operations,1
8/25/2015,Heavy Weaponry,1
8/28/2015,Special Operations,1
8/29/2015,Heavy Weaponry,1
9/5/2015,Heavy Weaponry,1
9/12/2015,Heavy Weaponry,1
9/15/2015,Drones,1
9/19/2015,Heavy Weaponry,1
9/25/2015,Heavy Weaponry,1
9/25/2015,Special Operations,1
9/28/2015,Heavy Weaponry,1
9/28/2015,Special Operations,1
9/30/2015,Heavy Weaponry,1
10/1/2015,Special Operations,1
10/5/2015,Heavy Weaponry,1
10/10/2015,Special Operations,1
10/12/2015,Heavy Weaponry,1
10/24/2015,Heavy Weaponry,1
11/14/2015,Heavy Weaponry,1
11/21/2015,Heavy Weaponry,1
12/4/2015,Special Operations,1
12/4/2015,Heavy Weaponry,1
12/5/2015,Heavy Weaponry,1
12/6/2015,Special Operations,1
12/6/2015,Heavy Weaponry,1
12/7/2015,Heavy Weaponry,1
12/8/2015,Heavy Weaponry,1
12/9/2015,Drones,1
12/17/2015,Heavy Weaponry,1
12/17/2015,Special Operations,1
12/18/2015,Special Operations,1
12/18/2015,Special Operations,1
12/18/2015,Special Operations,1
12/18/2015,Special Operations,1
12/19/2015,Special Operations,1
12/19/2015,Heavy Weaponry,1
12/20/2015,Heavy Weaponry,1
12/20/2015,Heavy Weaponry,1
12/20/2015,Special Operations,1
12/21/2015,Heavy Weaponry,1
12/22/2015,Heavy Weaponry,1
12/23/2015,Heavy Weaponry,1
12/25/2015,Drones,1
12/30/2015,Heavy Weaponry,1
1/13/2016,Heavy Weaponry,1
1/14/2016,Special Operations,1
1/15/2016,Heavy Weaponry,1
1/26/2016,Heavy Weaponry,1
1/26/2016,Special Operations,1
1/27/2016,Heavy Weaponry,1
2/2/2016,Heavy Weaponry,1
2/6/2016,Heavy Weaponry,1
2/11/2016,Heavy Weaponry,1
2/12/2016,Heavy Weaponry,1
2/12/2016,Special Operations,1
2/14/2016,Heavy Weaponry,1
2/16/2016,Heavy Weaponry,1
3/4/2016,Special Operations,1
3/4/2016,Heavy Weaponry,1
3/5/2016,Heavy Weaponry,1
3/8/2016,Special Operations,1
3/10/2016,Heavy Weaponry,1
3/10/2016,Special Operations,1
3/14/2016,Heavy Weaponry,1
3/21/2016,Heavy Weaponry,1
3/23/2016,Heavy Weaponry,1
3/24/2016,Heavy Weaponry,1
3/25/2016,Heavy Weaponry,1
3/26/2016,Heavy Weaponry,1
3/26/2016,Heavy Weaponry,1
3/31/2016,Heavy Weaponry,1
4/12/2016,Heavy Weaponry,1
4/12/2016,Heavy Weaponry,1
4/14/2016,Special Operations,1
4/17/2016,Heavy Weaponry,1
4/17/2016,Heavy Weaponry,1
4/18/2016,Special Operations,1
4/19/2016,Heavy Weaponry,1
4/19/2016,Drones,1
4/20/2016,Drones,1
4/21/2016,Heavy Weaponry,1
4/22/2016,Heavy Weaponry,1
4/22/2016,Heavy Weaponry,1
4/23/2016,Heavy Weaponry,1
4/24/2016,Heavy Weaponry,1
4/24/2016,Heavy Weaponry,1
4/24/2016,Heavy Weaponry,1
4/25/2016,Heavy Weaponry,1
4/25/2016,Heavy Weaponry,1
4/25/2016,Heavy Weaponry,1
4/25/2016,Heavy Weaponry,1
4/26/2016,Heavy Weaponry,1
4/26/2016,Heavy Weaponry,1
4/26/2016,Heavy Weaponry,1
4/26/2016,Heavy Weaponry,1
4/27/2016,Heavy Weaponry,1
4/27/2016,Heavy Weaponry,1
4/27/2016,Heavy Weaponry,1
4/27/2016,Heavy Weaponry,1
4/27/2016,Heavy Weaponry,1
4/27/2016,Heavy Weaponry,1
4/27/2016,Heavy Weaponry,1
4/27/2016,Heavy Weaponry,1
4/28/2016,Heavy Weaponry,1
4/28/2016,Heavy Weaponry,1
4/29/2016,Heavy Weaponry,1
4/29/2016,Heavy Weaponry,1
4/30/2016,Heavy Weaponry,1
5/1/2016,Heavy Weaponry,1
5/5/2016,Heavy Weaponry,1
5/6/2016,Heavy Weaponry,1
5/8/2016,Heavy Weaponry,1
5/9/2016,Heavy Weaponry,1
5/9/2016,Heavy Weaponry,1
5/13/2016,Heavy Weaponry,1
5/13/2016,Heavy Weaponry,1
5/14/2016,Heavy Weaponry,1
5/15/2016,Heavy Weaponry,1
5/18/2016,Heavy Weaponry,1
5/25/2016,Heavy Weaponry,1
6/2/2016,Heavy Weaponry,1
6/12/2016,Heavy Weaponry,1
6/23/2016,Heavy Weaponry,1
7/8/2016,Special Operations,1
7/28/2016,Heavy Weaponry,1
8/27/2016,Drones,1
10/7/2016,Heavy Weaponry,1
10/26/2016,Heavy Weaponry,1
10/26/2016,Special Operations,1
10/30/2016,Heavy Weaponry,1
11/1/2016,Heavy Weaponry,1
11/2/2016,Heavy Weaponry,1
11/14/2016,Heavy Weaponry,1
11/14/2016,Heavy Weaponry,1
11/14/2016,Drones,1
11/16/2016,Heavy Weaponry,1
11/26/2016,Drones,1
12/5/2016,Heavy Weaponry,1
12/10/2016,Heavy Weaponry,1
12/11/2016,Drones,1
12/29/2016,Special Operations,1
12/29/2016,Drones,1
1/12/2017,Drones,1
1/14/2017,Heavy Weaponry,1
1/15/2017,Heavy Weaponry,1
1/17/2017,Heavy Weaponry,1
1/22/2017,Drones,1
2/1/2017,Special Operations,1
2/4/2017,Heavy Weaponry,1
2/5/2017,Heavy Weaponry,1
2/7/2017,Heavy Weaponry,1
2/8/2017,Heavy Weaponry,1
2/8/2017,Special Operations,1
2/8/2017,Heavy Weaponry,1
2/8/2017,Heavy Weaponry,1
2/12/2017,Special Operations,1
2/13/2017,Heavy Weaponry,1
2/13/2017,Heavy Weaponry,1
2/17/2017,Heavy Weaponry,1
2/17/2017,Heavy Weaponry,1
2/19/2017,Heavy Weaponry,1
2/21/2017,Special Operations,1
2/22/2017,Heavy Weaponry,1
2/22/2017,Heavy Weaponry,1
2/23/2017,Heavy Weaponry,1
2/23/2017,Heavy Weaponry,1
2/23/2017,Heavy Weaponry,1
2/25/2017,Special Operations,1
2/25/2017,Special Operations,1
2/26/2017,Heavy Weaponry,1
2/26/2017,Heavy Weaponry,1
2/26/2017,Heavy Weaponry,1
2/26/2017,Heavy Weaponry,1
2/28/2017,Heavy Weaponry,1
3/1/2017,Heavy Weaponry,1
3/1/2017,Heavy Weaponry,1
3/2/2017,Heavy Weaponry,1
3/2/2017,Heavy Weaponry,1
3/2/2017,Heavy Weaponry,1
3/2/2017,Special Operations,1
3/2/2017,Drones,1
3/3/2017,Heavy Weaponry,1
3/4/2017,Drones,1
3/5/2017,Heavy Weaponry,1
4/27/2017,Heavy Weaponry,1
5/9/2017,Heavy Weaponry,1
5/10/2017,Heavy Weaponry,1
5/14/2017,Heavy Weaponry,1
5/15/2017,Heavy Weaponry,1
5/15/2017,Heavy Weaponry,1
5/16/2017,Heavy Weaponry,1
5/16/2017,Heavy Weaponry,1
5/17/2017,Heavy Weaponry,1
5/18/2017,Heavy Weaponry,1
5/18/2017,Heavy Weaponry,1
5/23/2017,Heavy Weaponry,1
5/30/2017,Heavy Weaponry,1
5/31/2017,Heavy Weaponry,1
6/11/2017,Heavy Weaponry,1
6/20/2017,Special Operations,1
6/21/2017,Drones,1
6/22/2017,Special Operations,1
7/4/2017,Heavy Weaponry,1
7/4/2017,Heavy Weaponry,1
7/8/2017,Heavy Weaponry,1
7/8/2017,Heavy Weaponry,1
7/9/2017,Heavy Weaponry,1
8/8/2017,Special Operations,1
10/22/2017,Heavy Weaponry,1
10/23/2017,Heavy Weaponry,1
12/25/2017,Drones,1
1/20/2018,Drones,1
1/25/2018,Special Operations,1
2/11/2018,Special Operations,1
2/21/2018,Drones,1
3/3/2018,Drones,1
3/19/2018,Drones,1
4/17/2018,Drones,1
6/19/2018,Drones,1
7/15/2018,Special Operations,1
8/17/2018,Special Operations,1
2/21/2019,Drones,1
6/4/2019,Heavy Weaponry,1
6/11/2019,Heavy Weaponry,1
6/12/2019,Heavy Weaponry,1
9/22/2019,Special Operations,1
9/25/2019,Drones,1
10/1/2019,Special Operations,1
2/24/2020,Special Operations,1
3/6/2020,Special Operations,1
3/24/2020,Special Operations,1
3/30/2020,Special Operations,1
4/21/2020,Drones,1
5/22/2020,Special Operations,1
5/22/2020,Special Operations,1
7/12/2020,Heavy Weaponry,2
7/13/2020,Heavy Weaponry,2
7/13/2020,Drones,1
7/14/2020,Drones,1
7/14/2020,Heavy Weaponry,1
7/16/2020,Heavy Weaponry,1
7/16/2020,Drones,9
7/16/2020,Special Operations,1
7/16/2020,Heavy Weaponry,1
7/16/2020,Drones,3
7/18/2020,Drones,1
7/21/2020,Drones,1
7/21/2020,Special Operations,1
7/21/2020,Drones,2
7/21/2020,Special Operations,1
7/22/2020,Drones,1
7/29/2020,Drones,1
8/6/2020,Drones,1
8/15/2020,Drones,1
8/23/2020,Special Operations,1
8/27/2020,Drones,1
9/20/2020,Drones,1
