Дата,категория потерь,Число
1/3/2015,Число убитых комбатантов,1
1/3/2015,Число убитых комбатантов,1
1/3/2015,Число раненых комбатантов,1
1/11/2015,Число убитых некомбатантов,1
1/11/2015,Число убитых комбатантов,1
1/12/2015,Число раненых комбатантов,1
1/17/2015,Число убитых комбатантов,1
1/20/2015,Число убитых комбатантов,1
1/21/2015,Число убитых комбатантов,1
1/21/2015,Число раненых комбатантов,1
1/21/2015,Число убитых комбатантов,1
1/23/2015,Число убитых комбатантов,1
1/23/2015,Число убитых комбатантов,1
2/5/2015,Число убитых комбатантов,1
2/5/2015,Число раненых некомбатантов,1
2/5/2015,Число убитых некомбатантов,1
2/10/2015,Число убитых комбатантов,1
2/14/2015,Число убитых комбатантов,1
2/28/2015,Число убитых комбатантов,1
2/28/2015,Число убитых комбатантов,1
3/3/2015,Число убитых комбатантов,1
3/19/2015,Число убитых комбатантов,1
3/19/2015,Число убитых комбатантов,1
3/19/2015,Число убитых комбатантов,1
3/19/2015,Число убитых комбатантов,1
3/29/2015,Число убитых комбатантов,1
4/8/2015,Число убитых комбатантов,1
5/8/2015,Число убитых комбатантов,1
6/11/2015,Число убитых комбатантов,1
6/26/2015,Число убитых комбатантов,1
8/12/2015,Число убитых комбатантов,1
9/3/2015,Число убитых комбатантов,1
9/24/2015,Число убитых некомбатантов,1
9/24/2015,Число раненых некомбатантов,1
9/24/2015,Число раненых некомбатантов,1
9/24/2015,Число убитых некомбатантов,1
9/24/2015,Число убитых некомбатантов,1
11/12/2015,Число убитых комбатантов,1
11/12/2015,Число убитых комбатантов,1
12/4/2015,Число убитых комбатантов,1
12/5/2015,Число раненых комбатантов,1
12/8/2015,Число убитых комбатантов,1
12/18/2015,Число убитых комбатантов,1
12/18/2015,Число убитых комбатантов,1
12/19/2015,Число убитых комбатантов,1
12/25/2015,Число убитых комбатантов,1
1/9/2016,Число убитых комбатантов,1
2/5/2016,Число убитых комбатантов,1
2/11/2016,Число убитых некомбатантов,1
2/12/2016,Число раненых комбатантов,1
3/17/2016,Число убитых комбатантов,1
3/26/2016,Число раненых некомбатантов,1
4/14/2016,Число убитых комбатантов,1
4/14/2016,Число убитых комбатантов,1
4/16/2016,Число раненых комбатантов,1
4/18/2016,Число раненых комбатантов,1
4/18/2016,Число раненых комбатантов,1
4/19/2016,Число убитых комбатантов,1
4/21/2016,Число убитых комбатантов,1
4/23/2016,Число раненых комбатантов,1
4/26/2016,Число убитых комбатантов,1
4/26/2016,Число убитых комбатантов,1
4/27/2016,Число убитых комбатантов,1
4/28/2016,Число убитых комбатантов,1
4/30/2016,Число убитых комбатантов,1
4/30/2016,Число убитых комбатантов,1
5/1/2016,Число убитых комбатантов,1
5/12/2016,Число убитых комбатантов,1
5/14/2016,Число раненых комбатантов,1
5/17/2016,Число убитых комбатантов,1
7/23/2016,Число раненых комбатантов,1
7/23/2016,Число убитых комбатантов,1
7/29/2016,Число раненых комбатантов,1
7/31/2016,Число раненых комбатантов,1
9/25/2016,Число убитых комбатантов,1
10/7/2016,Число раненых комбатантов,1
10/11/2016,Число убитых комбатантов,1
10/26/2016,Число убитых комбатантов,1
12/29/2016,Число убитых комбатантов,1
12/29/2016,Число убитых комбатантов,1
12/29/2016,Число убитых комбатантов,1
1/18/2017,Число убитых комбатантов,1
1/22/2017,Число убитых комбатантов,1
2/6/2017,Число убитых комбатантов,1
2/8/2017,Число убитых комбатантов,1
2/8/2017,Число раненых комбатантов,1
3/1/2017,Число убитых комбатантов,1
3/28/2017,Число убитых комбатантов,1
3/31/2017,Число убитых комбатантов,1
4/17/2017,Число убитых комбатантов,1
4/24/2017,Число убитых комбатантов,1
4/28/2017,Число убитых комбатантов,1
5/10/2017,Число раненых некомбатантов,1
5/20/2017,Число убитых комбатантов,1
5/26/2017,Число убитых комбатантов,1
6/16/2017,Число убитых комбатантов,1
6/16/2017,Число убитых комбатантов,1
6/16/2017,Число убитых комбатантов,1
6/17/2017,Число убитых комбатантов,1
7/7/2017,Число убитых комбатантов,1
7/7/2017,Число убитых комбатантов,1
7/7/2017,Число убитых комбатантов,1
7/10/2017,Число убитых комбатантов,1
8/14/2017,Число убитых комбатантов,1
8/27/2017,Число убитых комбатантов,1
9/28/2017,Число убитых комбатантов,1
10/19/2017,Число убитых комбатантов,1
1/7/2018,Число убитых комбатантов,1
2/7/2018,Число убитых комбатантов,1
2/22/2018,Число убитых комбатантов,1
4/9/2018,Число убитых комбатантов,1
4/25/2018,Число раненых комбатантов,1
5/13/2018,Число раненых комбатантов,1
6/7/2018,Число раненых комбатантов,1
6/10/2018,Число убитых комбатантов,1
7/26/2018,Число раненых комбатантов,1
9/19/2018,Число убитых комбатантов,1
9/22/2018,Число убитых комбатантов,1
10/23/2018,Число раненых комбатантов,1
4/30/2019,Число раненых комбатантов,1
5/4/2019,Число раненых комбатантов,1
6/1/2019,Число убитых комбатантов,1
6/13/2019,Число убитых комбатантов,1
7/27/2019,Число раненых комбатантов,1
7/28/2019,Число убитых комбатантов,1
10/3/2019,Число убитых комбатантов,1
11/29/2019,Число раненых комбатантов,1
1/11/2020,Число раненых комбатантов,1
1/15/2020,Число раненых комбатантов,1
3/10/2020,Число убитых комбатантов,1
3/30/2020,Число раненых некомбатантов,1
4/5/2020,Число раненых комбатантов,1
5/4/2020,Число убитых комбатантов,1
7/14/2020,Число убитых комбатантов,1
7/14/2020,Число убитых комбатантов,1
7/14/2020,Число убитых комбатантов,1
7/14/2020,Число убитых комбатантов,1
7/16/2020,Число раненых некомбатантов,1
7/18/2020,Число раненых комбатантов,1
7/18/2020,Число раненых комбатантов,1
7/18/2020,Число раненых комбатантов,1
7/18/2020,Число раненых комбатантов,1
7/18/2020,Число раненых комбатантов,1
7/18/2020,Число раненых комбатантов,1
7/18/2020,Число раненых комбатантов,1
7/18/2020,Число раненых комбатантов,1
7/18/2020,Число раненых комбатантов,1
7/18/2020,Число раненых комбатантов,1
7/18/2020,Число раненых комбатантов,1
7/18/2020,Число раненых комбатантов,1
7/23/2020,Число убитых комбатантов,1
7/29/2020,Число раненых комбатантов,1
9/16/2020,Число убитых комбатантов,1
